from_stop_id,to_stop_id,from_route_id,to_route_id,from_trip_id,to_trip_id,transfer_type,min_transfer_time
33,33,,,246108824610931+1872126+0,246108824610931+1871727+0,1,
33,33,,,246100224610026+1872156+0,246100224610026+1871777+0,1,
33,33,,,246106024610651+1872162+0,246106024610651+1871783+0,1,
33,33,,,246101024610527+1872169+0,246101024610527+1871791+0,1,
33,33,,,246110024611776+1872170+0,246110024611776+1871792+0,1,
33,33,,,246106024610651+1871810+0,246106024610651+1871216+0,1,
33,33,,,246108824610931+1871810+0,246108824610931+1871216+0,1,
33,33,,,246105924610597+1871839+0,246105924610597+1871258+0,1,
33,33,,,246108724610877+1871839+0,246108724610877+1871258+0,1,
33,33,,,246109424611717+1871854+0,246109424611717+1871284+0,1,
33,33,,,246106024610651+1871855+0,246106024610651+1871285+0,1,
33,33,,,246107224610866+1871855+0,246107224610866+1871285+0,1,
33,33,,,246108824610931+1871855+0,246108824610931+1871285+0,1,
33,33,,,246100324610037+1871868+0,246100324610037+1871310+0,1,
33,33,,,246100724610074+1871869+0,246100724610074+1871311+0,1,
33,33,,,246101024610527+1871872+0,246101024610527+1871314+0,1,
33,33,,,246106024610656+1871873+0,246106024610656+1871315+0,1,
33,33,,,246100724610074+1871886+0,246100724610074+1871344+0,1,
33,33,,,246106024610656+1871890+0,246106024610656+1871348+0,1,
33,33,,,246101024610527+1871936+0,246101024610527+1871415+0,1,
33,33,,,246100424610051+1866942+0,246100424610051+1866086+0,1,
33,33,,,246101124610283+1866942+0,246101124610283+1866086+0,1,
33,33,,,246106124610634+1866942+0,246106124610634+1866086+0,1,
33,33,,,246104624610564+1867030+0,246104624610564+1866097+0,1,
33,33,,,246108924610913+1867030+0,246108924610913+1866097+0,1,
33,33,,,246109524611752+1867030+0,246109524611752+1866097+0,1,
33,33,,,246109524611754+1867030+0,246109524611754+1866097+0,1,
33,33,,,246100624610063+1867031+0,246100624610063+1866098+0,1,
33,33,,,246104624610563+1867231+0,246104624610563+1866112+0,1,
33,33,,,246104624610564+1867231+0,246104624610564+1866112+0,1,
33,33,,,246106724610844+1867231+0,246106724610844+1866112+0,1,
33,33,,,246109524611752+1867231+0,246109524611752+1866112+0,1,
33,33,,,246100124610015+1867316+0,246100124610015+1866126+0,1,
33,33,,,246104624610561+1867317+0,246104624610561+1866127+0,1,
33,33,,,246108924610914+1867317+0,246108924610914+1866127+0,1,
33,33,,,246104624610561+1867325+0,246104624610561+1866136+0,1,
33,33,,,246108924610913+1867325+0,246108924610913+1866136+0,1,
33,33,,,246109524611754+1867325+0,246109524611754+1866136+0,1,
33,33,,,246103924610413+1867327+0,246104124610413+1866139+0,1,
33,33,,,246101524611765+1867329+0,246104324610435+1866144+0,1,
33,33,,,246104624610561+1867330+0,246104624610561+1866145+0,1,
33,33,,,246104624610564+1867330+0,246104624610564+1866145+0,1,
33,33,,,246108924610914+1867330+0,246108924610914+1866145+0,1,
33,33,,,246100624610063+1867331+0,246100624610063+1866146+0,1,
33,33,,,246103224610413+1867332+0,246103424610363+1866144+0,1,
33,33,,,246103224610411+1867332+0,246103924610411+1866148+0,1,
33,33,,,246100124610015+1867338+0,246100124610015+1866155+0,1,
33,33,,,246101524611765+1867338+0,246103424610365+1866155+0,1,
33,33,,,246106724610841+1867339+0,246106724610841+1866156+0,1,
33,33,,,246108924610913+1867339+0,246108924610913+1866156+0,1,
33,33,,,246103224610331+1867341+0,246103224610331+1866159+0,1,
33,33,,,246100424610051+1866173+0,246100424610051+1865788+1,1,
33,33,,,246104624610561+1866173+0,246104624610561+1865788+1,1,
33,33,,,246104624610563+1866173+0,246104624610563+1865788+1,1,
33,33,,,246106124610633+1866173+0,246106124610633+1865788+1,1,
33,33,,,246106724610842+1866173+0,246106724610842+1865788+1,1,
33,33,,,246106724610843+1866173+0,246106724610843+1865788+1,1,
33,33,,,246108924610912+1866173+0,246108924610912+1865788+1,1,
33,33,,,246108924610914+1866173+0,246108924610914+1865788+1,1,
33,33,,,246100624610063+1866174+0,246100624610063+1865789+1,1,
33,33,,,246103224610332+1866175+0,246103224610332+1865790+1,1,
33,33,,,246101124610284+1866189+1,246101124610284+1865820+1,1,
33,33,,,246103224610362+1866189+1,246103224610332+1865822+1,1,
33,33,,,246103924610432+1866189+1,246103924610412+1865822+1,1,
33,33,,,246108924610912+1866189+1,246108924610912+1865820+1,1,
33,33,,,246109524611753+1866189+1,246109524611753+1865820+1,1,
33,33,,,246100124610015+1866205+1,246100124610015+1865829+1,1,
33,33,,,246104624610563+1866206+1,246104624610563+1865830+1,1,
33,33,,,246106724610842+1866206+1,246106724610842+1865830+1,1,
33,33,,,246108924610912+1866206+1,246108924610912+1865830+1,1,
33,33,,,246108924610913+1866206+1,246108924610913+1865830+1,1,
33,33,,,246109524611751+1866206+1,246109524611751+1865830+1,1,
33,33,,,246101124610281+1866206+1,246101124610281+1865839+1,1,
33,33,,,246106724610842+1866206+1,246106724610842+1865839+1,1,
33,33,,,246109524611753+1866206+1,246109524611753+1865839+1,1,
33,33,,,246103924610412+1866208+1,246103224610432+1865838+1,1,
33,33,,,246100124610015+1866217+1,246100124610015+1865849+1,1,
33,33,,,246101524610295+1866217+1,246101524610295+1865852+1,1,
33,33,,,246101124610284+1866218+1,246101124610284+1865850+1,1,
33,33,,,246106724610841+1866218+1,246106724610841+1865850+1,1,
33,33,,,246106724610842+1866218+1,246106724610842+1865850+1,1,
33,33,,,246109524611754+1866218+1,246109524611754+1865850+1,1,
33,33,,,246103624610435+1866222+1,246103424610365+1865849+1,1,
33,33,,,246100424610051+1866224+1,246100424610051+1865883+1,1,
33,33,,,246101124610281+1866224+1,246101124610281+1865883+1,1,
33,33,,,246104624610563+1866224+1,246104624610563+1865883+1,1,
33,33,,,246104624610564+1866224+1,246104624610564+1865883+1,1,
33,33,,,246106124610634+1866224+1,246106124610634+1865883+1,1,
