service_id,date,exception_type
SIR-FA2017-SI017-Sunday-00_C61,20251207,2
SIR-FA2017-SI017-Sunday-00_C61,20251225,1
SIR-FA2017-SI017-Sunday-00_C61,20260101,1
SIR-FA2017-SI017-Weekday-08,20251127,2
SIR-FA2017-SI017-Weekday-08,20251225,2
SIR-FA2017-SI017-Weekday-08,20260101,2
SIR-FA2017-SI017-Weekday-08,20260119,2
SIR-FA2017-SI017-Weekday-08,20260216,2
SIR-FA2017-SI017-Weekday-08_C20,20251127,2
SIR-FA2017-SI017-Weekday-08_C20,20251202,2
SIR-FA2017-SI017-Weekday-08_C20,20251203,2
SIR-FA2017-SI017-Weekday-08_C20,20251204,2
SIR-FA2017-SI017-Weekday-08_C20,20251205,2
SIR-FA2017-SI017-Weekday-08_C20,20251208,2
SIR-FA2017-SI017-Weekday-08_C20,20251225,2
SIR-FA2017-SI017-Weekday-08_C20,20260101,2
SIR-FA2017-SI017-Weekday-08_C20,20260119,2
SIR-FA2017-SI017-Weekday-08_C20,20260216,2
SIR-FA2017-SI017-Weekday-08_C70,20251127,2
SIR-FA2017-SI017-Weekday-08_C70,20251201,2
SIR-FA2017-SI017-Weekday-08_C70,20251202,2
SIR-FA2017-SI017-Weekday-08_C70,20251203,2
SIR-FA2017-SI017-Weekday-08_C70,20251204,2
SIR-FA2017-SI017-Weekday-08_C70,20251205,2
SIR-FA2017-SI017-Weekday-08_C70,20251225,2
SIR-FA2017-SI017-Weekday-08_C70,20260101,2
SIR-FA2017-SI017-Weekday-08_C70,20260119,2
SIR-FA2017-SI017-Weekday-08_C70,20260216,2
SIR-FA2017-SI017-Weekday-08_C71,20251127,2
SIR-FA2017-SI017-Weekday-08_C71,20251201,2
SIR-FA2017-SI017-Weekday-08_C71,20251202,2
SIR-FA2017-SI017-Weekday-08_C71,20251203,2
SIR-FA2017-SI017-Weekday-08_C71,20251204,2
SIR-FA2017-SI017-Weekday-08_C71,20251225,2
SIR-FA2017-SI017-Weekday-08_C71,20260101,2
SIR-FA2017-SI017-Weekday-08_C71,20260119,2
SIR-FA2017-SI017-Weekday-08_C71,20260216,2
SIR-FA2017-SI017-Weekday-08_C73,20251127,2
SIR-FA2017-SI017-Weekday-08_C73,20251204,2
SIR-FA2017-SI017-Weekday-08_C73,20251225,2
SIR-FA2017-SI017-Weekday-08_C73,20260101,2
SIR-FA2017-SI017-Weekday-08_C73,20260119,2
SIR-FA2017-SI017-Weekday-08_C73,20260216,2
SIR-FA2017-SI017-Weekday-08_C74,20251127,2
SIR-FA2017-SI017-Weekday-08_C74,20251204,2
SIR-FA2017-SI017-Weekday-08_C74,20251205,2
SIR-FA2017-SI017-Weekday-08_C74,20251225,2
SIR-FA2017-SI017-Weekday-08_C74,20260101,2
SIR-FA2017-SI017-Weekday-08_C74,20260119,2
SIR-FA2017-SI017-Weekday-08_C74,20260216,2
SIR-FA2017-SI017-Weekday-08_C83,20251127,2
SIR-FA2017-SI017-Weekday-08_C83,20251201,2
SIR-FA2017-SI017-Weekday-08_C83,20251202,2
SIR-FA2017-SI017-Weekday-08_C83,20251203,2
SIR-FA2017-SI017-Weekday-08_C83,20251204,2
SIR-FA2017-SI017-Weekday-08_C83,20251225,2
SIR-FA2017-SI017-Weekday-08_C83,20260101,2
SIR-FA2017-SI017-Weekday-08_C83,20260119,2
SIR-FA2017-SI017-Weekday-08_C83,20260216,2
